room_number,Slug,imagen principal,bathroom_type,description_es,Ubicación,Description rich del cuarto,Período de disponibilidad,Galeria Imagen 1,Galeria Imagen 2,Galeria Imagen 3,Galeria Imagen 4,Galeria Imagen 5,Galeria Imagen 6,Galeria Imagen 7,Galeria Imagen 8,Galeria Imagen 9,Galeria Imagen 10
4,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d29c57471eada9c892a_cuarto4-1.jpeg,shared,"Habitación ubicada en el primer piso, cama doble, armario, tocador con espejo, escritorio y silla. Baño compartido.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d317b857512564d60fd_cuarto4-2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d317b857512564d60fd_cuarto4-2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d381a6e6847117f4441_cuarto4-3.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d3bf6772f789911e859_cuarto4-4.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6382b4310169f881219b0_bano%20cuartos%203-4_1.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6383248fe788a226587a0_bano%20cuartos%203-4_2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64d57da7dd1a7d03e0a39_bano%20cuartos%203-4_3.jpeg,,,
5,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64deafb5b6c7d30b64e48_IMG_4333%20de%20taman%CC%83o%20grande.jpeg,private,"Habitación ubicada en el primer piso, baño privado, cama doble, closet amplio, sofá,, escritorio y silla.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6913fcb0c69f38d362ab8732_cuarto5-10.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64ebc9b58f09c453644c6_cuarto5-6.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64ed3db30253973fa6725_cuarto5-9.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64ede0a0b02404e0d72c0_cuarto5-8.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b64ee5eb5aba2db4e0e040_cuarto5-7.jpeg,,,,,
6,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b65423a71734eb5c662a08_cuarto6-1.jpeg,private,"Piso privado en planta alta con baño, salón, cocina, minibar, cama queen, sofa amplio, armario, tocador con espejo, escritorio y silla.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b654528c1c4a46eeaf2656_cuarto6-6.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b65459918d27688247f062_cuarto6-3.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6546707927800142fce9d_cuarto6-4.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6547acd50babf5cf76f80_cuarto6-7.jpeg,,,,,,
7,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b654cd07927800142fe42c_cuarto7-1.jpeg,shared,"Habitación ubicada en el segundo piso, cama doble, armario, cómoda, escritorio y silla. Baño compartido.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b655427c977ab722cdc46f_cuarto7-2.jpeg,,,,,,,,,
8,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6575c5da5d84599e8508b_cuarto8-1.jpeg,compartido,"Habitación ubicada en el segundo piso, cama doble, armario, cómoda, escritorio y silla. Baño compartido.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b6576008124e44b89c4334_cuarto8-2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b657647660c35eff68859c_cuarto8-3.jpeg,,,,,,,,
9,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b66b0ca92383daf8328ace_cuarto9-6.jpeg,private,"Habitación doble en el segundo piso con baño privado, dos camas individuales, amplio armario, cómoda, escritorio y silla.","Fray Andrés de Olmos 2621, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue.",,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b66b18baa48accecdc779a_cuarto9-1.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b66b22ee66385592b4e382_cuarto9-2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b66b29e181b3f32367ece1_cuarto9-3.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68b66b3047e37e1ff6efa681_cuarto9-5.jpeg,,,,,,
1,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6917b34d5fede338517527c2_WhatsApp%20Image%202025-11-10%20at%2017.37.12%20(1).jpeg,private,"Habitación amplia con cama matrimonial y baño privado, ideal para estudiantes.",,"<h3 id="""">🛏️ Habitación amplia con baño privado – Excelente iluminación natural</h3><p id="""">Esta habitación destaca por su <strong id="""">amplitud, comodidad y luz natural</strong> gracias a una ventana grande que ilumina todo el espacio. Cuenta con una <strong id="""">cama matrimonial</strong>, piso de loseta fácil de limpiar y un ambiente tranquilo perfecto para estudiantes o jóvenes profesionales.</p><p id="""">Incluye un <strong id="""">baño privado dentro de la habitación</strong>, equipado con ducha, lavabo y WC, brindándote total privacidad y comodidad.</p><p id="""">El espacio también ofrece un <strong id="""">escritorio con silla</strong>, ideal para estudiar o trabajar desde casa, y un <strong id="""">clóset amplio</strong> para almacenamiento adicional.</p><p id="""">La habitación se encuentra en una <strong id="""">zona segura y con fácil acceso al transporte y servicios</strong>.</p><p id=""""><strong id="""">Características principales:</strong></p><ul id=""""><li>Habitación amplia y bien iluminada</li><li>Baño privado</li><li>Cama matrimonial, escritorio y clóset incluidos</li><li>Ventana grande con persiana</li><li>Ambiente tranquilo y confortable</li></ul><p id="""">Perfecta para quienes buscan un espacio privado, práctico y bien ubicado en Puebla.</p><h3 id="""">‍</h3>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
2,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6924b4fd1df5f26859a8b507_WhatsApp%20Image%202025-11-10%20at%2017.37.39.jpeg,shared,"Habitación con clóset amplio y ambiente cómodo, ideal para estancias largas.",,"<h3 id="""">Habitación amplia con cama matrimonial – Ideal para estudiantes</h3><p id="""">Esta habitación es perfecta para estudiantes que buscan un espacio <strong id="""">cómodo, luminoso y funcional</strong> durante su estancia en Puebla. Cuenta con una <strong id="""">cama matrimonial</strong>, un <strong id="""">clóset grande con cajoneras</strong> y un <strong id="""">escritorio junto a una ventana amplia</strong>, lo que la hace ideal para estudiar con buena iluminación natural.</p><p id="""">El <strong id="""">baño es compartido</strong>, manteniendo una convivencia cómoda y ordenada entre estudiantes. El ambiente general es tranquilo, seguro y pensado para favorecer la concentración y el descanso.</p><p id=""""><strong id="""">Características principales:</strong></p><ul id=""""><li id="""">Cama matrimonial</li><li id="""">Escritorio con gran entrada de luz natural</li><li id="""">Clóset amplio y práctico</li><li id="""">Baño compartido</li><li id="""">Ambiente tranquilo perfecto para estudiar</li></ul><p id="""">Una excelente opción para estudiantes que buscan un espacio agradable y bien equipado.</p>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
3,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6924b58901b08e0a74ffabde_WhatsApp%20Image%202025-11-10%20at%2017.38.05.jpeg,shared,"Habitación con clóset amplio y ambiente cómodo, ideal para estancias largas.",,"<h3 id="""">Habitación amplia con clóset grande – Ideal para estudiantes</h3><p id="""">Esta habitación es perfecta para <strong id="""">estudiantes que buscan un espacio cómodo, práctico y bien iluminado</strong>. Cuenta con una <strong id="""">cama matrimonial</strong>, un <strong id="""">clóset amplio con cajoneras</strong> y un <strong id="""">escritorio ideal para estudiar o trabajar</strong>, justo junto a una ventana grande que proporciona excelente luz natural durante el día.</p><p id="""">El baño es <strong id="""">compartido</strong> y se mantiene limpio, ideal para una convivencia cómoda entre estudiantes. La habitación ofrece un ambiente tranquilo y organizado, ideal para enfocarte en tus clases o relajarte después de un día en la universidad.</p><p id=""""><strong id="""">Características principales para estudiantes:</strong></p><ul id=""""><li>Cama matrimonial muy cómoda</li><li>Escritorio con buena iluminación natural</li><li>Clóset grande para guardar todo lo necesario</li><li>Baño compartido</li><li>Ambiente tranquilo y perfecto para estudiar</li></ul><p id="""">Una opción ideal si buscas un espacio acogedor y funcional durante tu estancia en Puebla.</p><p id="""">‍</p>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
4,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6924b83f852d446caec791f1_WhatsApp%20Image%202025-11-10%20at%2017.38.29.jpeg,shared,"Habitación amplia con cama king size y baño compartido, ideal para estudiantes.",,"<h3 id="""">Habitación amplia con baño compartido – Excelente iluminación natural</h3><p id="""">Esta habitación ofrece un espacio <strong id="""">amplio, luminoso y acogedor</strong>, perfecto para estudiantes que buscan comodidad durante su estancia en Puebla. Cuenta con una <strong id="""">cama king size</strong>, ideal para descansar con total confort, además de una mesa de noche y un escritorio que permite estudiar o trabajar con tranquilidad.</p><p id="""">El <strong id="""">baño es compartido</strong>, siempre mantenido limpio y cercano a la habitación. La decoración sencilla con detalles mexicanos, como el cuadro de Frida Kahlo, le da un toque cálido y agradable al ambiente.</p><p id="""">La ventana grande permite una excelente entrada de luz natural, haciendo que la habitación se sienta fresca y agradable durante el día.</p><p id=""""><strong id="""">Características principales:</strong></p><ul id=""""><li>Cama king size</li><li>Baño compartido</li><li>Escritorio y mesa de noche incluidos</li><li>Amplia iluminación natural</li><li>Ambiente tranquilo ideal para estudiantes</li></ul><p id="""">Una habitación cómoda y funcional en una ubicación segura y práctica para la vida estudiantil.</p>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
5,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6924b85e756b558c52fb8775_WhatsApp%20Image%202025-11-10%20at%2017.38.49.jpeg,shared,"Habitación luminosa con cama matrimonial y baño compartido, ideal para estudiantes.",,"<h3 id="""">Habitación luminosa con baño compartido – Excelente iluminación natural</h3><p id="""">Esta habitación ofrece un ambiente <strong id="""">acogedor, luminoso y perfecto para estudiantes</strong> que buscan comodidad durante su estancia en Puebla. Cuenta con una <strong id="""">cama matrimonial</strong>, mesa de noche de madera y una ventana grande con persiana que brinda excelente iluminación natural, manteniendo el espacio fresco y agradable.</p><p id="""">El <strong id="""">baño es compartido</strong>, siempre limpio y cercano a la habitación, lo que permite una convivencia cómoda entre estudiantes. La decoración sencilla y cálida, con arte estilo Frida Kahlo, aporta un toque hogareño y relajado.</p><p id=""""><strong id="""">Características principales:</strong></p><ul id=""""><li id="""">Cama matrimonial</li><li id="""">Baño compartido</li><li id="""">Iluminación natural abundante</li><li id="""">Mesa de noche incluida</li><li id="""">Ambiente tranquilo y cómodo para estudiar</li></ul><p id="""">Una habitación ideal para estudiantes que buscan un espacio agradable, seguro y bien ubicado en Puebla.</p>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
6,mariachi,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6924b85e756b558c52fb8775_WhatsApp%20Image%202025-11-10%20at%2017.38.49.jpeg,shared,"Habitación con cama individual y baño privado, perfecta para estudiantes.",,"<h3 id="""">Habitación luminosa con baño compartido – Excelente iluminación natural</h3><p id="""">Esta habitación es ideal para estudiantes que buscan un espacio <strong id="""">privado, cómodo y funcional</strong>. Cuenta con una <strong id="""">cama individual</strong>, un <strong id="""">baño privado</strong> dentro de la habitación y amplio espacio de almacenamiento gracias a las repisas de madera integradas.</p><p id="""">El escritorio de madera ofrece un ambiente perfecto para estudiar o trabajar con concentración. El piso de loseta es fácil de limpiar y el ambiente general es tranquilo, ideal para enfocarte en tus estudios.</p><p id=""""><strong id="""">Características principales:</strong></p><ul id=""""><li>Baño privado</li><li>Cama individual</li><li>Escritorio amplio</li><li>Múltiples repisas para almacenamiento</li><li>Ambiente tranquilo ideal para estudiar</li></ul><p id="""">Una excelente opción para estudiantes que buscan privacidad, comodidad y un espacio bien organizado en Puebla.</p>",enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,,,,,,,,,,
